"Id","Response"
1,7
3,8
4,6
9,8
12,8
13,8
21,6
28,1
30,7
36,8
38,8
43,1
45,4
48,8
50,2
51,8
54,7
55,8
59,8
62,1
63,8
66,8
69,8
82,8
83,6
84,7
86,8
89,8
90,1
92,8
98,2
100,2
105,5
115,8
119,3
124,4
127,8
133,2
140,5
141,8
143,2
151,6
154,8
157,8
163,7
166,3
168,8
170,6
173,8
180,7
182,8
184,6
185,7
195,7
196,2
197,5
212,5
213,6
219,8
225,6
227,5
232,6
239,6
247,6
251,6
254,6
261,7
264,6
267,8
272,8
275,8
277,1
283,8
284,1
287,2
291,8
293,6
294,5
305,8
307,2
309,8
311,5
322,4
323,4
326,6
330,1
335,8
337,7
338,5
341,1
346,6
348,2
352,4
356,8
358,6
366,7
369,5
373,6
375,2
381,6
384,8
386,6
396,2
397,1
399,7
405,8
412,2
417,2
421,1
425,7
427,8
430,2
432,6
433,8
436,8
438,8
441,8
442,6
444,1
446,8
448,6
450,6
454,7
465,8
470,7
472,5
475,8
484,8
495,1
497,8
498,8
501,5
502,6
505,8
515,1
516,6
527,8
529,2
531,7
533,6
537,1
541,7
546,8
548,6
549,8
550,2
553,8
559,8
561,5
564,2
574,6
578,6
579,6
580,8
582,7
584,8
588,7
596,6
602,6
603,2
613,6
614,3
619,8
620,7
624,5
625,8
628,2
630,7
635,1
636,2
637,8
641,8
644,8
648,8
654,8
658,2
664,8
666,6
667,7
670,8
672,7
674,8
676,8
684,8
685,6
693,1
694,8
700,4
702,6
703,7
705,6
711,8
718,1
722,7
726,1
727,6
732,8
735,8
740,1
748,8
750,6
751,8
756,7
762,7
766,8
770,8
771,5
779,7
782,5
784,7
793,7
798,7
800,6
801,8
805,7
807,1
813,8
819,8
820,7
822,8
823,7
833,8
834,6
842,4
845,6
856,5
860,6
864,2
869,7
872,8
877,6
878,8
893,2
894,7
896,7
899,1
900,8
911,1
914,8
917,1
919,5
923,2
925,8
926,2
934,7
938,8
940,2
955,2
956,6
971,7
973,8
978,8
979,8
981,8
988,8
990,7
992,6
996,7
997,2
999,6
1000,7
1006,2
1009,4
1018,7
1025,6
1038,7
1042,8
1045,7
1046,8
1047,7
1050,6
1052,7
1054,8
1057,7
1061,4
1069,6
1071,7
1073,6
1074,8
1075,1
1083,7
1084,1
1089,5
1099,5
1103,2
1110,8
1123,2
1130,7
1135,7
1137,8
1145,8
1147,6
1152,8
1153,1
1154,8
1158,8
1166,6
1170,8
1172,6
1178,8
1179,6
1181,3
1182,7
1183,8
1191,2
1192,2
1200,4
1205,7
1207,8
1208,4
1209,2
1217,5
1223,2
1225,7
1226,2
1228,2
1230,6
1232,8
1235,8
1237,7
1257,7
1266,1
1267,6
1274,8
1277,8
1278,7
1280,8
1282,8
1293,7
1294,4
1305,8
1306,7
1311,7
1318,6
1320,8
1323,8
1325,2
1328,6
1336,5
1340,7
1341,8
1344,7
1345,7
1348,4
1358,1
1361,8
1364,6
1373,8
1377,7
1378,8
1380,7
1382,1
1383,6
1386,8
1387,1
1390,1
1395,8
1398,2
1402,2
1403,8
1405,8
1407,8
1410,1
1412,1
1419,8
1426,1
1428,8
1436,6
1437,2
1438,2
1441,8
1444,2
1448,1
1454,5
1457,6
1459,2
1463,8
1467,4
1471,7
1475,6
1476,2
1480,8
1481,3
1482,5
1489,7
1491,8
1494,8
1496,8
1500,8
1501,8
1503,7
1504,5
1505,4
1515,5
1517,6
1520,6
1521,3
1523,8
1526,8
1529,6
1530,8
1543,6
1544,8
1547,7
1550,8
1552,2
1554,7
1563,2
1574,8
1575,6
1576,2
1579,2
1582,7
1584,8
1585,8
1589,7
1596,8
1598,5
1611,8
1613,1
1615,6
1618,1
1627,7
1630,3
1638,8
1639,6
1640,8
1642,8
1645,6
1648,6
1654,6
1661,8
1662,6
1663,8
1666,2
1668,5
1670,1
1672,7
1681,6
1682,2
1683,2
1687,8
1688,8
1693,6
1694,1
1700,8
1704,7
1712,8
1716,8
1717,7
1722,1
1724,6
1738,2
1739,2
1740,8
1761,8
1763,8
1765,8
1766,7
1767,8
1771,7
1772,8
1777,8
1784,1
1799,6
1806,8
1810,1
1812,8
1814,3
1818,6
1819,8
1822,5
1823,8
1824,1
1834,2
1835,2
1844,7
1848,7
1849,8
1850,2
1851,1
1856,1
1862,2
1863,6
1872,7
1874,2
1875,8
1877,8
1900,8
1902,8
1904,6
1905,1
1908,8
1914,8
1916,1
1922,1
1933,7
1934,6
1939,6
1942,6
1947,8
1957,2
1971,8
1973,6
1974,6
1977,7
1981,7
1985,8
1987,6
1989,8
2001,2
2002,3
2007,1
2008,8
2011,5
2021,7
2034,8
2040,8
2044,4
2045,8
2048,7
2051,2
2062,7
2066,3
2068,7
2069,6
2074,8
2075,8
2078,8
2079,1
2080,1
2081,5
2084,1
2085,8
2087,8
2096,6
2102,6
2103,8
2107,8
2117,6
2118,5
2120,7
2121,5
2122,2
2130,8
2136,5
2138,8
2140,7
